x position,y position,Simulation Output (V),Analytical Output (V),Absolure error (%),Relative error (%)
-0.673469387755102,0.061224489795918366,-0.2801401985515748,-0.2978860848795996,0.02,6.33
-0.673469387755102,0.10204081632653061,-0.27184342456338223,-0.28442230703193383,0.01,4.63
-0.673469387755102,0.14285714285714285,-0.24864198252015407,-0.2642266402604355,0.02,6.27
-0.673469387755102,0.1836734693877551,-0.22487183396590918,-0.2372990845651045,0.01,5.53
-0.673469387755102,0.22448979591836735,-0.19409370553223065,-0.20363963994594084,0.01,4.92
-0.673469387755102,0.2653061224489796,-0.1548024585600159,-0.1632483064029441,0.01,5.46
-0.673469387755102,0.30612244897959184,-0.1074316104188326,-0.11612508393611493,0.01,8.09
-0.673469387755102,0.3469387755102041,-0.06138181776649965,-0.06226997254545312,0.0,1.45
-0.673469387755102,0.3877551020408163,0.001957959283397285,-0.0016829722309578592,0.0,185.96
-0.673469387755102,0.42857142857142855,0.06278732246102954,0.06563591700736957,0.0,4.54
-0.673469387755102,0.46938775510204084,0.13381377506617387,0.13968669516952967,0.01,4.39
-0.673469387755102,0.5102040816326531,0.2105415895215265,0.2204693622555231,0.01,4.72
-0.673469387755102,0.5510204081632653,0.29253948812093045,0.30798391826534793,0.02,5.28
-0.673469387755102,0.5918367346938775,0.37967396125773295,0.40223036319900696,0.02,5.94
-0.673469387755102,0.6326530612244898,0.47735999204534485,0.503208697056499,0.03,5.41
-0.673469387755102,0.673469387755102,0.5761450776150954,0.6109189198378226,0.03,6.04
-0.673469387755102,0.7142857142857143,0.6844067917589549,0.7253610315429794,0.04,5.98
-0.6326530612244898,-0.7551020408163265,0.7798144208178398,0.8289573222041833,0.05,6.3
-0.6326530612244898,-0.7142857142857143,0.6752271442168303,0.7151272004011932,0.04,5.91
-0.6326530612244898,-0.673469387755102,0.5714095003824612,0.6076209742539247,0.04,6.34
-0.6326530612244898,-0.6326530612244898,0.481180884448497,0.5064386437623782,0.03,5.25
-0.6326530612244898,-0.5918367346938775,0.38890314389537883,0.4115802089265527,0.02,5.83
-0.6326530612244898,-0.5510204081632653,0.30123480395065666,0.32304566974644927,0.02,7.24
-0.6326530612244898,-0.5102040816326531,0.22653491549947638,0.24083502622206707,0.01,6.31
-0.6326530612244898,-0.46938775510204084,0.15472532840952571,0.16494827835340697,0.01,6.61
