x position,y position,Simulation Output (V),Analytical Output (V),Absolute error (%),Relative error (%)
-0.673469387755102,-0.5102040816326531,2.8860063122298365e9,4.980020279201469e9,2.09401396697e9,72.56
-0.673469387755102,-0.46938775510204084,3.259810991398433e9,5.606930697425958e9,2.34711970603e9,72.0
-0.673469387755102,-0.42857142857142855,3.613077797640831e9,6.165507213118302e9,2.55242941548e9,70.64
-0.673469387755102,-0.3877551020408163,3.9457477432778144e9,6.6595696741821375e9,2.7138219309e9,68.78
-0.673469387755102,-0.3469387755102041,4.271519027196898e9,7.092738555504489e9,2.82121952831e9,66.05
-0.673469387755102,-0.30612244897959184,4.58938730614375e9,7.468406427165902e9,2.87901912102e9,62.73
-0.673469387755102,-0.2653061224489796,4.749298979608515e9,7.789707156609883e9,3.040408177e9,64.02
-0.673469387755102,-0.22448979591836735,4.936579650253623e9,8.059483430106344e9,3.12290377985e9,63.26
-0.673469387755102,-0.1836734693877551,5.140317596802126e9,8.280253471908834e9,3.13993587511e9,61.08
-0.673469387755102,-0.14285714285714285,5.269114123325714e9,8.454178140139838e9,3.18506401681e9,60.45
-0.673469387755102,-0.10204081632653061,5.403097892045241e9,8.58302984267282e9,3.17993195063e9,58.85
-0.673469387755102,-0.061224489795918366,5.424490476649604e9,8.668164889452894e9,3.2436744128e9,59.8
-0.673469387755102,-0.02040816326530612,5.385475468747368e9,8.710500924861105e9,3.32502545611e9,61.74
-0.673469387755102,0.02040816326530612,5.3010715744900875e9,8.710500924861105e9,3.40942935037e9,64.32
-0.673469387755102,0.061224489795918366,5.378540715434339e9,8.668164889452894e9,3.28962417402e9,61.16
-0.673469387755102,0.10204081632653061,5.353733891298623e9,8.58302984267282e9,3.22929595137e9,60.32
-0.673469387755102,0.14285714285714285,5.28544070494812e9,8.454178140139838e9,3.16873743519e9,59.95
-0.673469387755102,0.1836734693877551,5.099364168532959e9,8.280253471908834e9,3.18088930338e9,62.38
-0.673469387755102,0.22448979591836735,4.916250680462664e9,8.059483430106344e9,3.14323274964e9,63.94
-0.673469387755102,0.2653061224489796,4.7393807418738575e9,7.789707156609883e9,3.05032641474e9,64.36
-0.673469387755102,0.30612244897959184,4.492891278245405e9,7.468406427165902e9,2.97551514892e9,66.23
-0.673469387755102,0.3469387755102041,4.248499787786882e9,7.092738555504489e9,2.84423876772e9,66.95
-0.673469387755102,0.3877551020408163,4.020842934842093e9,6.6595696741821375e9,2.63872673934e9,65.63
-0.673469387755102,0.42857142857142855,3.5752846778151617e9,6.165507213118302e9,2.5902225353e9,72.45
-0.673469387755102,0.46938775510204084,3.2998344124425135e9,5.606930697425958e9,2.30709628498e9,69.92
-0.673469387755102,0.5102040816326531,2.932130247905589e9,4.980020279201469e9,2.0478900313e9,69.84
-0.673469387755102,0.5510204081632653,2.482955111916391e9,4.280782674568537e9,1.79782756265e9,72.41
-0.673469387755102,0.5918367346938775,2.031043326183864e9,3.5050743832504973e9,1.47403105707e9,72.58
-0.673469387755102,0.6326530612244898,1.6061535708327324e9,2.648622220490914e9,1.04246864966e9,64.9
-0.673469387755102,0.673469387755102,1.1042882827298312e9,1.707041294837562e9,6.0275301211e8,54.58
-0.673469387755102,0.7142857142857143,6.209139963365234e8,6.758506284614164e8,5.493663212e7,8.85
-0.6326530612244898,-0.7551020408163265,5.853729703662732e8,5.524939533961799e8,3.287901697e7,5.62
