x position,y position,Simulation Output (°C),Analytical Output (°C),Absolute error (%),Relative error (%)
-0.5862068965517241,-0.7931034482758621,-0.4292359484408972,-0.5742181748488223,0.14,33.78
-0.5862068965517241,-0.7241379310344828,-0.34492267273197985,-0.5148161090910904,0.17,49.26
-0.5862068965517241,-0.6551724137931034,-0.2816563968370866,-0.4614616085436149,0.18,63.84
-0.5862068965517241,-0.5862068965517241,-0.22646708311737568,-0.4135279157766582,0.19,82.6
-0.5862068965517241,-0.5172413793103449,-0.18302657382220042,-0.37045195180403867,0.19,102.4
-0.5862068965517241,-0.4482758620689655,-0.14643048428479974,-0.33172770157199577,0.19,126.54
-0.5862068965517241,-0.3793103448275862,-0.118798434008815,-0.2969002697803214,0.18,149.92
-0.5862068965517241,-0.3103448275862069,-0.0942560756914673,-0.26556053720926626,0.17,181.74
-0.5862068965517241,-0.2413793103448276,-0.07607909153987664,-0.2373403547798707,0.16,211.97
-0.5862068965517241,-0.1724137931034483,-0.061003254619991044,-0.21190821889216294,0.15,247.37
-0.5862068965517241,-0.10344827586206896,-0.04975347035103642,-0.1889653772392494,0.14,279.8
-0.5862068965517241,-0.034482758620689655,-0.03978559078370024,-0.16824231935214023,0.13,322.87
-0.5862068965517241,0.034482758620689655,-0.03202267378978358,-0.14949561064960343,0.12,366.84
-0.5862068965517241,0.10344827586206896,-0.02616891195758781,-0.13250503280250292,0.11,406.35
-0.5862068965517241,0.1724137931034483,-0.02097112244796562,-0.11707099682037057,0.1,458.25
-0.5862068965517241,0.2413793103448276,-0.016373112986955735,-0.10301219847163486,0.09,529.15
-0.5862068965517241,0.3103448275862069,-0.013144744396522554,-0.09016348849563663,0.08,585.93
-0.5862068965517241,0.3793103448275862,-0.011358722571233685,-0.07837393258772733,0.07,589.99
-0.5862068965517241,0.4482758620689655,-0.008458245413095696,-0.06750503836801834,0.06,698.1
-0.5862068965517241,0.5172413793103449,-0.007880146311422084,-0.05742912850591266,0.05,628.78
-0.5862068965517241,0.5862068965517241,-0.006134695545097304,-0.048027840889448954,0.04,682.89
-0.5862068965517241,0.6551724137931034,-0.00382449639729015,-0.03919073822088743,0.04,924.73
